"","ENTITYNAME","CIPCode","CIPTITLE","ROI_Report_Group","DegreeLevelId","DEGREE","years_after_completion","annual_earnings"
"1","ALL","52.19","Specialized Sales, Merchandising and  Marketing Operations.","Business","01","Certificate(<1 year)",1,NA
"2","ALL","03.01","Natural Resources Conservation and Research.","Science, Technology, Engineering and Math","02","Certificate(>1 year)",1,NA
"3","ALL","51.09","Allied Health Diagnostic, Intervention, and Treatment Professions.","Health","61","Doctoral Degree",1,NA
"4","ALL","10.02","Audiovisual Communications Technologies/Technicians.","Arts, Humanities and Communication","01","Certificate(<1 year)",1,NA
"5","ALL","31.01","Parks, Recreation and Leisure Studies.","Social and Behavioral Sciences and Human Services","01","Certificate(<1 year)",1,NA
"6","ALL","14.20","Metallurgical Engineering.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,NA
"7","ALL","52.18","General Sales, Merchandising and Related Marketing Operations.","Business","02","Certificate(>1 year)",1,NA
"8","ALL","52.11","International Business.","Business","02","Certificate(>1 year)",1,NA
"9","ALL","01.03","Agricultural Production Operations.","Science, Technology, Engineering and Math","02","Certificate(>1 year)",1,NA
"10","ALL","31.05","Health and Physical Education/Fitness.","Social and Behavioral Sciences and Human Services","01","Certificate(<1 year)",1,NA
"11","ALL","50.09","Music.","Arts, Humanities and Communication","61","Doctoral Degree",1,NA
"12","ALL","01.05","Agricultural and Domestic Animal Services.","Science, Technology, Engineering and Math","01","Certificate(<1 year)",1,"24409.22"
"13","ALL","52.02","Business Administration, Management and Operations.","Business","61","Doctoral Degree",1,"80565.55"
"14","ALL","03.03","Fishing and Fisheries Sciences and Management.","Science, Technology, Engineering and Math","31","Master's Degree",1,"60177.78"
"15","ALL","19.06","Housing and Human Environments.","Social and Behavioral Sciences and Human Services","01","Certificate(<1 year)",1,"23228.78"
"16","ALL","09.07","Radio, Television, and Digital Communication.","Arts, Humanities and Communication","01","Certificate(<1 year)",1,"24139.78"
"17","ALL","40.02","Astronomy and Astrophysics.","Science, Technology, Engineering and Math","31","Master's Degree",1,"55592.55"
"18","ALL","01.05","Agricultural and Domestic Animal Services.","Science, Technology, Engineering and Math","11","Associate of Applied Science",1,"22102.5"
"19","ALL","47.04","Precision Systems Maintenance and Repair Technologies.","Trades","01","Certificate(<1 year)",1,"47151.98"
"20","ALL","01.05","Agricultural and Domestic Animal Services.","Science, Technology, Engineering and Math","02","Certificate(>1 year)",1,"41107.019999999997"
"21","ALL","51.00","Health Services/Allied Health/Health Sciences, General.","Health","11","Associate of Applied Science",1,"21844.2"
"22","ALL","31.99","Parks, Recreation, Leisure, and Fitness Studies, Other.","Social and Behavioral Sciences and Human Services","01","Certificate(<1 year)",1,"51229.9"
"23","ALL","51.26","Health Aides/Attendants/Orderlies.","Health","02","Certificate(>1 year)",1,"18207"
"24","ALL","51.35","Somatic Bodywork and Related Therapeutic Services.","Health","11","Associate of Applied Science",1,"23622.84"
"25","ALL","31.05","Health and Physical Education/Fitness.","Social and Behavioral Sciences and Human Services","61","Doctoral Degree",1,"66786.84"
"26","ALL","40.08","Physics.","Science, Technology, Engineering and Math","31","Master's Degree",1,"67855.320000000007"
"27","ALL","47.04","Precision Systems Maintenance and Repair Technologies.","Trades","02","Certificate(>1 year)",1,"26990.86"
"28","ALL","38.01","Philosophy.","Arts, Humanities and Communication","61","Doctoral Degree",1,"37500.080000000002"
"29","ALL","38.02","Religion/Religious Studies.","Arts, Humanities and Communication","31","Master's Degree",1,"19477.5"
"30","ALL","50.09","Music.","Arts, Humanities and Communication","11","Associate of Applied Science",1,"33862.980000000003"
"31","ALL","52.99","Business, Management, Marketing, and Related Support Services, Other.","Business","02","Certificate(>1 year)",1,"17826.599999999999"
"32","ALL","52.19","Specialized Sales, Merchandising and  Marketing Operations.","Business","02","Certificate(>1 year)",1,"16200.39"
"33","ALL","38.01","Philosophy.","Arts, Humanities and Communication","31","Master's Degree",1,"29911.7"
"34","ALL","26.03","Botany/Plant Biology.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"56177.88"
