year,periodName,value,month_year,state_code
2019,December,883.6,2019-12-01,1
2019,November,863.81,2019-11-01,1
2019,October,866.26,2019-10-01,1
2019,September,867.3,2019-09-01,1
2019,August,850.73,2019-08-01,1
2019,July,841.05,2019-07-01,1
2019,June,861.8,2019-06-01,1
2019,May,838.82,2019-05-01,1
2019,April,843.45,2019-04-01,1
2019,March,843.8,2019-03-01,1
2019,February,842.75,2019-02-01,1
2019,January,830.27,2019-01-01,1
2018,December,868.78,2018-12-01,1
2018,November,844.38,2018-11-01,1
2018,October,839.43,2018-10-01,1
2018,September,853.47,2018-09-01,1
2018,August,823.76,2018-08-01,1
2018,July,831.77,2018-07-01,1
2018,June,819.51,2018-06-01,1
2018,May,815.23,2018-05-01,1
2018,April,830.35,2018-04-01,1
2018,March,817.55,2018-03-01,1
2018,February,809.2,2018-02-01,1
2018,January,793.7,2018-01-01,1
2017,December,812.42,2017-12-01,1
2017,November,805.19,2017-11-01,1
2017,October,819.87,2017-10-01,1
2017,September,802.0,2017-09-01,1
2017,August,797.07,2017-08-01,1
2017,July,803.58,2017-07-01,1
2017,June,784.37,2017-06-01,1
2017,May,790.94,2017-05-01,1
2017,April,801.86,2017-04-01,1
2017,March,787.07,2017-03-01,1
2017,February,790.24,2017-02-01,1
2017,January,798.13,2017-01-01,1
2016,December,786.23,2016-12-01,1
2016,November,784.37,2016-11-01,1
2016,October,806.76,2016-10-01,1
2016,September,784.27,2016-09-01,1
2016,August,779.15,2016-08-01,1
2016,July,791.03,2016-07-01,1
2016,June,782.13,2016-06-01,1
2016,May,791.18,2016-05-01,1
2016,April,783.49,2016-04-01,1
2016,March,770.0,2016-03-01,1
2016,February,779.28,2016-02-01,1
2016,January,779.94,2016-01-01,1
2015,December,773.23,2015-12-01,1
2015,November,779.75,2015-11-01,1
2015,October,771.85,2015-10-01,1
2015,September,761.1,2015-09-01,1
2015,August,768.62,2015-08-01,1
2015,July,751.54,2015-07-01,1
2015,June,751.18,2015-06-01,1
2015,May,749.05,2015-05-01,1
2015,April,745.54,2015-04-01,1
2015,March,751.54,2015-03-01,1
2015,February,754.73,2015-02-01,1
2015,January,737.44,2015-01-01,1
2014,December,742.31,2014-12-01,1
2014,November,750.45,2014-11-01,1
2014,October,734.98,2014-10-01,1
2014,September,740.89,2014-09-01,1
2014,August,741.19,2014-08-01,1
2014,July,735.97,2014-07-01,1
2014,June,751.08,2014-06-01,1
2014,May,736.63,2014-05-01,1
2014,April,738.34,2014-04-01,1
2014,March,750.96,2014-03-01,1
2014,February,737.45,2014-02-01,1
2014,January,720.3,2014-01-01,1
2013,December,745.6,2013-12-01,1
2013,November,728.5,2013-11-01,1
2013,October,732.11,2013-10-01,1
2013,September,748.84,2013-09-01,1
2013,August,729.22,2013-08-01,1
2013,July,721.95,2013-07-01,1
2013,June,738.59,2013-06-01,1
2013,May,718.51,2013-05-01,1
