YEAR,STATEFIP,age_group,mean_INCWAGE
2009,1,18 and under,4875.922613275863
2009,1,19-25,14597.09766782069
2009,1,26-34,25466.89573450369
2009,1,35-54,32695.07676821655
2009,1,55-64,25322.14207552741
2009,1,65+,6387.354588234927
2009,2,18 and under,10363.185928285044
2009,2,19-25,20851.113664941975
2009,2,26-34,34875.1405544852
2009,2,35-54,39052.857956734246
2009,2,55-64,31564.48673349119
2009,2,65+,7598.832986358267
2009,4,18 and under,9654.269609746998
2009,4,19-25,17138.49056524179
2009,4,26-34,25818.911651783856
2009,4,35-54,32281.205708577527
2009,4,55-64,26295.26814549835
2009,4,65+,8771.156534049409
2009,5,18 and under,2909.7644271987424
2009,5,19-25,14969.125796439044
2009,5,26-34,26597.701740544097
2009,5,35-54,29484.99456951779
2009,5,55-64,20224.987396103297
2009,5,65+,4633.844594862254
2009,6,18 and under,3957.2837194609983
2009,6,19-25,13327.808136704067
2009,6,26-34,29009.627001941975
2009,6,35-54,38428.28111345068
2009,6,55-64,28415.643720589975
2009,6,65+,7101.402351046169
2009,8,18 and under,4766.368377541684
2009,8,19-25,16329.790738122567
2009,8,26-34,30467.18508672572
2009,8,35-54,42359.74442796203
2009,8,55-64,30174.296550163777
2009,8,65+,6193.208000714708
2009,9,18 and under,4839.3670636585675
2009,9,19-25,12260.978573576847
2009,9,26-34,29065.797920554498
2009,9,35-54,39747.68125199705
2009,9,55-64,40365.2411198911
2009,9,65+,5314.97490286301
2009,10,18 and under,6072.471787550642
2009,10,19-25,14645.228255234424
2009,10,26-34,34102.112078635735
2009,10,35-54,35904.39334426626
2009,10,55-64,25201.915432555237
2009,10,65+,4846.980311781147
2009,11,18 and under,466.2819120065275
2009,11,19-25,11663.20465627618
2009,11,26-34,25639.695348835976
2009,11,35-54,39499.92391254605
2009,11,55-64,21438.481453443845
2009,11,65+,3411.316451198638
2009,12,18 and under,3523.5613512848117
2009,12,19-25,15432.525397383022
2009,12,26-34,29197.775567593675
2009,12,35-54,32035.50410170419
2009,12,55-64,22312.828332765166
2009,12,65+,5309.234368836577
2009,13,18 and under,6295.882120816423
2009,13,19-25,13181.889989249728
2009,13,26-34,28553.75583858915
2009,13,35-54,33425.039761716645
2009,13,55-64,25150.146721604127
2009,13,65+,5615.409447759634
2009,15,18 and under,7197.394939053289
2009,15,19-25,15206.268453691366
2009,15,26-34,28891.187825469504
2009,15,35-54,36439.41027183303
2009,15,55-64,23527.91447472129
2009,15,65+,5166.561944853513
2009,16,18 and under,3900.505138302092
2009,16,19-25,13424.818921428108
2009,16,26-34,27367.72234954679
2009,16,35-54,31517.083330453574
2009,16,55-64,24117.48502864491
2009,16,65+,5830.389953837362
2009,17,18 and under,4417.100160832062
2009,17,19-25,12843.301531514442
2009,17,26-34,26945.966701995992
2009,17,35-54,32138.193285937858
2009,17,55-64,24606.094529345974
2009,17,65+,4643.628512354497
2009,18,18 and under,1667.5582903786244
2009,18,19-25,14590.548645675242
2009,18,26-34,25913.7243178055
2009,18,35-54,33864.38028919496
2009,18,55-64,22099.395934738728
2009,18,65+,4175.119562515684
2009,19,18 and under,9079.759060391818
2009,19,19-25,16194.779620290845
2009,19,26-34,29290.315130228355
2009,19,35-54,37138.25556636317
2009,19,55-64,27841.201811403353
2009,19,65+,5236.753492429601
2009,20,18 and under,2765.6867018257967
2009,20,19-25,14692.428409679542
2009,20,26-34,28049.271942994463
2009,20,35-54,34432.29530593083
2009,20,55-64,26962.870500234025
2009,20,65+,6346.864189464045
2009,21,18 and under,2579.850396457382
2009,21,19-25,14297.526324237151
2009,21,26-34,27157.102717597743
2009,21,35-54,28173.31916664372
2009,21,55-64,24181.69759610362
2009,21,65+,3274.8838810660272
2009,22,18 and under,6431.563488059478
2009,22,19-25,14108.21728910936
2009,22,26-34,26707.79202515465
2009,22,35-54,30577.109165899776
2009,22,55-64,22629.12836357737
2009,22,65+,4937.891558400393
2009,23,18 and under,4653.7369439577915
2009,23,19-25,13397.46405744277
2009,23,26-34,24773.366729946305
2009,23,35-54,29788.369834832763
2009,23,55-64,20551.822989726774
2009,23,65+,6322.436553280621
2009,24,18 and under,3568.0515351756994
2009,24,19-25,15084.87380108354
2009,24,26-34,32956.87453733078
2009,24,35-54,40559.262402592656
2009,24,55-64,32802.41370935824
2009,24,65+,7590.019541728594
2009,25,18 and under,3849.4007131887283
2009,25,19-25,10560.668820763975
2009,25,26-34,28336.62140888244
2009,25,35-54,34273.04661539772
2009,25,55-64,36744.29851172316
2009,25,65+,5403.770738743715
2009,26,18 and under,5736.629138541061
2009,26,19-25,11373.202162915568
2009,26,26-34,25208.11173766096
2009,26,35-54,31203.3480374391
2009,26,55-64,22975.771903168272
2009,26,65+,3016.420585100273
2009,27,18 and under,5304.164510642397
2009,27,19-25,19307.316337929056
2009,27,26-34,24947.25115311416
2009,27,35-54,34569.04969271771
2009,27,55-64,30330.56721947636
2009,27,65+,4686.13346042748
2009,28,18 and under,2331.9723652370785
2009,28,19-25,8971.726174459745
2009,28,26-34,22372.612630000458
2009,28,35-54,28925.97672615074
2009,28,55-64,15793.887650893641
2009,28,65+,12292.09232791639
2009,29,18 and under,3653.7985993256357
2009,29,19-25,15900.788141665056
2009,29,26-34,25125.60487800971
2009,29,35-54,31458.799523249934
2009,29,55-64,25055.407477313845
2009,29,65+,2518.858202439441
2009,30,18 and under,11558.377194655515
2009,30,19-25,16060.339273513053
2009,30,26-34,25083.112928238388
2009,30,35-54,29349.15390245864
2009,30,55-64,17162.33844390468
2009,30,65+,2303.483086064271
2009,31,18 and under,3798.3659679636244
2009,31,19-25,14105.784735290932
2009,31,26-34,26947.933524513435
2009,31,35-54,32368.16391678646
2009,31,55-64,28937.833051645695
2009,31,65+,4182.852710280279
2009,32,18 and under,7489.088736787548
2009,32,19-25,19520.827565148247
2009,32,26-34,37505.20015068118
2009,32,35-54,38254.48343376829
2009,32,55-64,27086.89659957558
2009,32,65+,7269.056324564296
2009,33,18 and under,5162.670743626658
2009,33,19-25,15197.32370452359
2009,33,26-34,32266.265937555934
2009,33,35-54,42855.56076739511
2009,33,55-64,32525.86439928513
2009,33,65+,5784.803931910607
2009,34,18 and under,4590.733782144148
2009,34,19-25,11999.839161446562
2009,34,26-34,30923.964916747525
2009,34,35-54,41290.9902023053
2009,34,55-64,46863.4855561278
2009,34,65+,6635.486598303629
2009,35,18 and under,6758.630007762626
2009,35,19-25,10578.6022087148
2009,35,26-34,26190.163220585186
2009,35,35-54,34554.13869085519
2009,35,55-64,21486.600609766865
2009,35,65+,3065.0694133888933
2009,36,18 and under,4435.634756050793
2009,36,19-25,10867.674707912136
2009,36,26-34,29337.166376361547
2009,36,35-54,36000.56971823669
2009,36,55-64,28179.1306901056
2009,36,65+,5200.323651391648
2009,37,18 and under,4105.759250739572
2009,37,19-25,13947.883091261741
2009,37,26-34,24172.428623747506
2009,37,35-54,28842.192936736246
2009,37,55-64,28290.125139710635
2009,37,65+,4287.448987011567
2009,38,18 and under,5171.878904495888
2009,38,19-25,17228.935840030084
2009,38,26-34,28441.579068157487
2009,38,35-54,35513.25079181728
2009,38,55-64,27259.934635319507
2009,38,65+,5689.873530697519
2009,39,18 and under,5979.068520368578
2009,39,19-25,14092.74670355666
2009,39,26-34,30215.57515019901
2009,39,35-54,32508.495986747057
2009,39,55-64,26678.21953036595
2009,39,65+,5023.5467627997705
2009,40,18 and under,6911.110233085668
2009,40,19-25,16706.9923305684
