YEAR,STATEFIP,age_group,mean_INCWAGE
2009,01,18 and under,363.81592923506065
2009,01,19-25,16084.476648815182
2009,01,26-34,28403.71770817313
2009,01,35-54,38129.379898103536
2009,01,55-64,32099.054828100863
2009,01,65+,5912.533559799092
2009,01,nan,0.0
2009,02,18 and under,826.3000846269449
2009,02,19-25,19933.66110261411
2009,02,26-34,38808.975558945596
2009,02,35-54,48399.71565692569
2009,02,55-64,38714.634726117736
2009,02,65+,10707.972892044394
2009,02,nan,0.0
2009,04,18 and under,282.95874609688406
2009,04,19-25,17415.050114617028
2009,04,26-34,30999.453028781347
2009,04,35-54,41330.53307867257
2009,04,55-64,35561.639343952025
2009,04,65+,9085.838469011418
2009,04,nan,0.0
2009,05,18 and under,184.88552514215297
2009,05,19-25,16363.953059290337
2009,05,26-34,28320.07379970108
2009,05,35-54,34852.89419791799
2009,05,55-64,23958.719410998452
2009,05,65+,5019.084603532366
2009,05,nan,0.0
2009,06,18 and under,245.4089527259306
2009,06,19-25,15035.787220816286
2009,06,26-34,36605.521206107594
2009,06,35-54,48953.50729860018
2009,06,55-64,42900.09756215889
2009,06,65+,8631.286987464842
2009,06,nan,0.0
2009,08,18 and under,441.7436067883929
2009,08,19-25,19960.379594280046
2009,08,26-34,41042.98585366002
2009,08,35-54,53330.685324913116
2009,08,55-64,44702.88147233328
2009,08,65+,11676.921131962405
2009,08,nan,0.0
2009,09,18 and under,409.119982230889
2009,09,19-25,14482.292998950428
2009,09,26-34,44667.66090638091
2009,09,35-54,57443.887754327785
2009,09,55-64,48881.315751986076
2009,09,65+,8189.599263413439
2009,09,nan,0.0
2009,10,18 and under,330.5902543017909
2009,10,19-25,16328.387994052795
2009,10,26-34,39653.45710412767
2009,10,35-54,47222.28337328503
2009,10,55-64,36440.39093504495
2009,10,65+,6698.355756150189
2009,10,nan,0.0
2009,11,18 and under,134.89875640771072
2009,11,19-25,22791.872694087557
2009,11,26-34,54421.378105754
2009,11,35-54,62697.07631890331
2009,11,55-64,58735.22406692487
2009,11,65+,14337.504599299164
2009,11,nan,0.0
2009,12,18 and under,351.61825844204253
2009,12,19-25,16805.1050562859
2009,12,26-34,35801.11747963052
2009,12,35-54,42053.146361879786
2009,12,55-64,31921.429185635265
2009,12,65+,5902.002046744237
2009,12,nan,0.0
2009,13,18 and under,225.9738533646855
2009,13,19-25,16629.509855253007
2009,13,26-34,34542.88819695772
2009,13,35-54,46628.91585406703
2009,13,55-64,33228.68692888236
2009,13,65+,8763.706108526598
2009,13,nan,0.0
2009,15,18 and under,419.10581432338574
2009,15,19-25,16298.86460912283
2009,15,26-34,38048.82819696704
2009,15,35-54,45554.84763388138
2009,15,55-64,35387.99765752342
2009,15,65+,11165.885322869264
2009,15,nan,0.0
2009,16,18 and under,375.21988393480154
2009,16,19-25,15462.638369802244
2009,16,26-34,29299.015405442315
2009,16,35-54,40233.01500021116
2009,16,55-64,28554.275282810482
2009,16,65+,4281.842861140016
2009,16,nan,0.0
2009,17,18 and under,302.4302941872908
2009,17,19-25,14997.65890920274
2009,17,26-34,35611.27276450626
2009,17,35-54,48887.17703610075
2009,17,55-64,34622.62629036215
2009,17,65+,11497.5483374768
2009,17,nan,0.0
2009,18,18 and under,255.71691474792243
2009,18,19-25,15202.419785467637
2009,18,26-34,29768.701639386287
2009,18,35-54,42059.7073221538
2009,18,55-64,36271.4396467398
2009,18,65+,7305.608738655973
2009,18,nan,0.0
2009,19,18 and under,553.7795809887602
2009,19,19-25,19227.30383148851
2009,19,26-34,33798.47713439797
2009,19,35-54,43577.15384588139
2009,19,55-64,32574.369753691615
2009,19,65+,5373.859066097094
2009,19,nan,0.0
2009,20,18 and under,375.39125843092756
2009,20,19-25,15664.052801548129
2009,20,26-34,34163.824662826526
2009,20,35-54,46028.45539720487
2009,20,55-64,38372.88157086967
2009,20,65+,5962.907011543537
2009,20,nan,0.0
2009,21,18 and under,239.0100302604717
2009,21,19-25,14985.322304336734
2009,21,26-34,29121.770799981794
2009,21,35-54,35722.76380216803
2009,21,55-64,30249.06715050186
2009,21,65+,4948.393726994642
2009,21,nan,0.0
2009,22,18 and under,269.6458558983802
2009,22,19-25,16441.356823735772
2009,22,26-34,31036.12670403391
2009,22,35-54,39145.33110980234
2009,22,55-64,29767.253786228994
2009,22,65+,5376.5007601056805
2009,22,nan,0.0
2009,23,18 and under,379.49359025257905
2009,23,19-25,15415.47343765896
2009,23,26-34,32562.423232866222
2009,23,35-54,40190.0243888406
2009,23,55-64,29939.456316541702
2009,23,65+,6777.554397960999
2009,23,nan,0.0
2009,24,18 and under,333.27229588220155
2009,24,19-25,16994.435157664346
2009,24,26-34,42043.88779021723
2009,24,35-54,58354.916899637676
2009,24,55-64,45510.40936982386
2009,24,65+,10568.184746093328
2009,24,nan,0.0
2009,25,18 and under,394.2728794561493
2009,25,19-25,15658.885883161474
2009,25,26-34,46765.90159114914
2009,25,35-54,56622.135083756875
2009,25,55-64,46290.51876844829
2009,25,65+,7279.7447440029
2009,25,nan,0.0
2009,26,18 and under,341.89073546855377
2009,26,19-25,12372.560262393967
2009,26,26-34,33922.771550855265
2009,26,35-54,43112.412879654854
2009,26,55-64,33350.01274946584
2009,26,65+,7874.306443460035
2009,26,nan,0.0
2009,27,18 and under,334.68512003497125
2009,27,19-25,20144.602984662877
2009,27,26-34,37070.075945946766
2009,27,35-54,50009.05817365222
2009,27,55-64,43662.8701328712
2009,27,65+,7631.970996232478
2009,27,nan,0.0
2009,28,18 and under,299.6643614371814
2009,28,19-25,9956.138633701908
2009,28,26-34,27920.910772130526
2009,28,35-54,32279.679295644284
2009,28,55-64,28754.119747286528
2009,28,65+,9694.627399845498
2009,28,nan,0.0
2009,29,18 and under,470.095652834586
2009,29,19-25,17103.23182890867
2009,29,26-34,33373.16726882358
2009,29,35-54,43507.10723367872
2009,29,55-64,28380.196956292428
2009,29,65+,4556.855007104284
2009,29,nan,0.0
2009,30,18 and under,347.9099207801166
2009,30,19-25,17585.04174320276
2009,30,26-34,33776.64555210842
2009,30,35-54,37890.90120386502
2009,30,55-64,30374.498952229646
2009,30,65+,3467.7055886473745
2009,30,nan,0.0
2009,31,18 and under,495.6620474339367
2009,31,19-25,16500.728245122853
2009,31,26-34,35596.53121004786
2009,31,35-54,41636.588044319724
2009,31,55-64,37830.445698491334
2009,31,65+,5905.322621003326
2009,31,nan,0.0
2009,32,18 and under,473.53840296236217
2009,32,19-25,18226.580287385183
2009,32,26-34,38719.76883023852
2009,32,35-54,46167.11756308116
2009,32,55-64,32203.97897805062
2009,32,65+,8016.058832868711
2009,32,nan,0.0
2009,33,18 and under,513.2907495745063
2009,33,19-25,16354.64333597865
2009,33,26-34,44093.31597749713
2009,33,35-54,56412.41792961891
2009,33,55-64,43786.575870780354
2009,33,65+,8507.91061210617
2009,33,nan,0.0
2009,34,18 and under,227.8477949556431
2009,34,19-25,14695.081992156047
2009,34,26-34,42707.86725055641
2009,34,35-54,57616.78737313314
2009,34,55-64,56187.2666712842
2009,34,65+,10203.799331008016
2009,34,nan,0.0
2009,35,18 and under,308.7904450821983
2009,35,19-25,9138.318525982491
2009,35,26-34,28340.615369116647
2009,35,35-54,41776.79619286258
2009,35,55-64,31810.813604519524
2009,35,65+,8293.399374774988
2009,35,nan,0.0
2009,36,18 and under,292.40728846257997
2009,36,19-25,14914.34798086079
2009,36,26-34,42921.691263099536
2009,36,35-54,46511.89663559612
2009,36,55-64,37630.992691711195
2009,36,65+,9129.607480461893
2009,36,nan,0.0
2009,37,18 and under,256.5607179138878
2009,37,19-25,14597.691755198512
2009,37,26-34,32736.818890121267
2009,37,35-54,40023.66439242155
2009,37,55-64,32585.036294388203
2009,37,65+,5481.956563431864
2009,37,nan,0.0
2009,38,18 and under,572.0151432219503
2009,38,19-25,19953.74766774358
2009,38,26-34,34718.66501286169
2009,38,35-54,42491.75613406458
2009,38,55-64,36852.72629893455
2009,38,65+,5632.510295762063
2009,38,nan,0.0
2009,39,18 and under,381.91488388953394
2009,39,19-25,15978.170607183489
2009,39,26-34,34899.17135580807
2009,39,35-54,40585.6448485637
2009,39,55-64,33997.94004852319
2009,39,65+,4948.869975933093
2009,39,nan,0.0
2009,40,18 and under,338.3417223930612
2009,40,19-25,16848.211480895607
2009,40,26-34,34682.59341319475
2009,40,35-54,44026.92394188974
2009,40,55-64,34553.70294926468
2009,40,65+,6735.581040587387
2009,40,nan,0.0
2009,41,18 and under,234.04199544971323
2009,41,19-25,15269.63577980392
2009,41,26-34,31464.227960149135
2009,41,35-54,45436.603588546575
2009,41,55-64,29156.5728988138
2009,41,65+,3538.7422651746547
2009,41,nan,0.0
2009,42,18 and under,363.78943099569045
2009,42,19-25,14388.534322748303
2009,42,26-34,40315.21189936637
2009,42,35-54,48014.94498430841
2009,42,55-64,36976.142745186444
2009,42,65+,5075.187961419617
2009,42,nan,0.0
2009,44,18 and under,554.6427496052438
2009,44,19-25,15476.470674933222
2009,44,26-34,36822.58151515923
2009,44,35-54,50291.81077124286
2009,44,55-64,34794.151675900466
2009,44,65+,9646.440315493332
2009,44,nan,0.0
2009,45,18 and under,270.62537975536276
2009,45,19-25,17559.954408760823
2009,45,26-34,29623.021568553144
2009,45,35-54,36923.91771282757
2009,45,55-64,26667.82814974317
2009,45,65+,6767.89152895326
2009,45,nan,0.0
2009,46,18 and under,822.7063169632148
2009,46,19-25,20048.994972647077
2009,46,26-34,31320.297356336905
2009,46,35-54,41786.24979304757
2009,46,55-64,29318.432475700047
2009,46,65+,6296.917328783948
2009,46,nan,0.0
2009,47,18 and under,1053.7276781227888
2009,47,19-25,13255.417864156625
2009,47,26-34,36756.30110670713
2009,47,35-54,36804.91144011374
2009,47,55-64,29808.47191031794
2009,47,65+,5836.1371458638
2009,47,nan,0.0
2009,48,18 and under,370.15783021716487
2009,48,19-25,17323.35241081146
2009,48,26-34,31940.376309993142
2009,48,35-54,44701.95891380473
2009,48,55-64,35395.79371838318
2009,48,65+,6374.747704654835
2009,48,nan,0.0
2009,49,18 and under,422.56350475134695
2009,49,19-25,20246.864237772796
2009,49,26-34,32591.59876384242
2009,49,35-54,47155.0255164216
2009,49,55-64,46185.92980981653
2009,49,65+,8351.615365910866
2009,49,nan,0.0
2009,50,18 and under,463.9793759239937
2009,50,19-25,15554.806997885169
2009,50,26-34,35582.77313513803
2009,50,35-54,43104.85065861861
2009,50,55-64,35940.50142953598
2009,50,65+,6413.364759519503
2009,50,nan,0.0
2009,51,18 and under,363.8590313876451
2009,51,19-25,20960.000249423418
2009,51,26-34,41467.1255511626
2009,51,35-54,53199.17168564194
2009,51,55-64,49010.463390117
2009,51,65+,9418.528110039553
2009,51,nan,0.0
2009,53,18 and under,289.87130932739484
2009,53,19-25,17920.41312549826
2009,53,26-34,41476.180652136805
2009,53,35-54,52221.846391682
2009,53,55-64,37894.95788099512
2009,53,65+,4916.613484587988
2009,53,nan,0.0
2009,54,18 and under,215.49168301125857
2009,54,19-25,16850.827402507206
2009,54,26-34,28287.08045557515
2009,54,35-54,33578.025061383836
2009,54,55-64,25940.66070321633
2009,54,65+,3075.871307424433
2009,54,nan,0.0
2009,55,18 and under,438.17078275897563
2009,55,19-25,17176.621454148306
2009,55,26-34,36450.416914580084
2009,55,35-54,44199.45406162983
2009,55,55-64,39068.86181651626
2009,55,65+,5666.828735429315
2009,55,nan,0.0
